rodada;atleta_id;apelido;posicao;clube;escalacoes;pontos
21;99815;Arias;MEI;PAL;43;17,70
21;96610;Matheus Pereira;MEI;CRU;42;15,20
21;39148;Hulk;ATA;FLU;34;3,20
21;78850;Reinaldo;LAT;MIR;30;7,00
21;87863;Arrascaeta;MEI;FLA;26;1,80
21;100652;Yuri Alberto;ATA;COR;26;3,50
21;71684;Gustavo Gómez;ZAG;PAL;26;6,50
21;99552;Rossi;GOL;FLA;26;4,20
21;88963;Leonardo Jardim;TEC;FLA;25;3,20
21;94583;Pedro;ATA;FLA;23;1,90
21;98873;Samuel Lino;ATA;FLA;21;10,20
21;106708;Igor Formiga;LAT;MIR;21;3,20
21;101727;Matheuzinho;LAT;COR;20;11,70
21;97653;Murilo;ZAG;PAL;16;5,90
21;113103;Flaco López;ATA;PAL;16;2,20
21;118844;Kaio César;ATA;COR;12;2,80
21;104084;Carlos Miguel;GOL;PAL;12;8,90
21;117632;Garro;MEI;COR;12;0,40
21;104027;Rafael Guanaes;TEC;MIR;11;5,56
21;83528;Léo Pereira;ZAG;FLA;10;1,00
21;89837;Lucho Acosta;MEI;FLU;9;4,70
21;99274;Alexander Barboza;ZAG;PAL;9;4,40
21;78248;Gustavo Henrique;ZAG;COR;8;0,00
21;37656;Fábio;GOL;FLU;6;5,00
21;102130;Piquerez;LAT;PAL;6;13,70
21;37715;Thiago Silva;ZAG;FLU;6;5,80
21;124912;Jonathan Jesus;ZAG;CRU;6;7,40
21;113034;Freytes;ZAG;FLU;5;5,20
21;98672;Savarino;MEI;FLU;5;1,30
21;102928;Canobbio;ATA;FLU;5;4,90
21;110506;Abel Ferreira;TEC;PAL;5;9,38
21;78445;Renê;LAT;FLU;4;9,20
21;97460;João Victor;ZAG;MIR;4;12,50
21;105436;Carrascal;MEI;FLA;3;3,70
21;72391;Fernando Diniz;TEC;COR;3;5,09
21;89275;William;LAT;CRU;3;10,20
21;97878;Jacy;ZAG;CFC;3;0,50
21;99366;Luis Zubeldía;TEC;FLU;3;7,95
21;105647;Maurício;MEI;PAL;3;8,40
21;105175;Khellven;LAT;PAL;2;5,00
21;103445;Kaio Jorge;ATA;CRU;2;0,00
21;84816;Varela;LAT;FLA;2;-0,30
21;84735;Jorginho;MEI;FLA;2;4,10
21;104204;Edson Carioca;ATA;MIR;2;3,30
21;117061;Gabriel Knesowitsch;ZAG;MIR;2;-1,60
21;122660;Japa;MEI;MIR;2;3,60
21;97900;Vitão;ZAG;FLA;1;-0,10
21;117404;Otávio;GOL;CRU;1;8,10
21;103967;Bruno Santos;ATA;MIR;1;-0,30
21;69208;Gabriel Paulista;ZAG;COR;1;0,00
21;72279;Thomazella;GOL;MIR;1;0,30
21;125803;Pedro Morisco;GOL;CFC;1;4,20
21;78855;Thiago Santos;ZAG;CFC;1;0,10
21;101574;Hugo Souza;GOL;COR;1;7,80
21;84626;Josué;MEI;CFC;1;4,20
21;103056;Gabriel Brazão;GOL;SAN;1;0,00
21;63007;Neymar;MEI;SAN;1;0,00
21;93368;Lucas Veríssimo;ZAG;SAN;1;0,00
21;94968;Juninho Capixaba;LAT;RBB;1;0,00
21;145744;André;MEI;COR;1;0,00
21;107093;Luciano Juba;LAT;BAH;1;9,20
21;127273;Artur Jorge;TEC;CRU;1;7,65
21;143193;Viveros;ATA;CAP;1;2,20
21;123648;Lucas Ronier;ATA;CFC;1;7,50
21;132580;Vinicinho;ATA;RBB;1;0,00
21;101908;Willian Machado;ZAG;MIR;1;1,50
21;95556;Raniele;MEI;COR;1;6,90
21;126977;Fernando Seabra;TEC;CFC;1;2,70
21;51413;Walter;GOL;MIR;1;0,00
21;82628;Tinga;LAT;CFC;1;4,70
21;68708;Eduardo;MEI;MIR;1;0,50
21;100987;Nonato;MEI;FLU;1;2,70
21;132071;Serna;ATA;FLU;1;0,00
21;145404;Arthur;LAT;PAL;1;0,00
21;112863;Ramón Sosa;ATA;PAL;1;9,40
21;42500;Fagner;LAT;CRU;1;0,00
21;99889;Alan Franco;ZAG;OUT;1;0,00
21;39850;Vagner Mancini;TEC;RBB;1;0,00
21;98280;Bastos;ZAG;OUT;1;0,00
21;105563;Carlos Vinícius;ATA;GRE;1;0,00
21;100848;Luan Cândido;LAT;VIT;1;-3,00
21;117910;Breno Bidon;MEI;COR;1;0,00
21;131832;Portilla;MEI;CAP;1;1,70
21;90768;Fabrício Bruno;ZAG;CRU;1;6,50
22;94583;Pedro;ATA;FLA;44;0,00
22;87863;Arrascaeta;MEI;FLA;43;0,00
22;99815;Arias;MEI;PAL;43;7,50
22;98873;Samuel Lino;ATA;FLA;35;0,00
22;96610;Matheus Pereira;MEI;CRU;35;2,20
22;107093;Luciano Juba;LAT;BAH;30;4,70
22;113103;Flaco López;ATA;PAL;29;0,00
22;102130;Piquerez;LAT;PAL;29;8,00
22;83528;Léo Pereira;ZAG;FLA;28;0,00
22;88963;Leonardo Jardim;TEC;FLA;28;0,00
22;97653;Murilo;ZAG;PAL;20;4,90
22;97867;Léo Ortiz;ZAG;FLA;18;0,00
22;72018;Tiago Volpi;GOL;RBB;12;0,00
22;104084;Carlos Miguel;GOL;PAL;11;7,60
